Date,QQQ
2005-01-04,-0.018228006854291046
2005-01-05,-0.006188350157768419
2005-01-06,-0.004930110490658501
2005-01-07,0.005214662935391523
2005-01-10,-0.0005188308175981815
2005-01-11,-0.007007328992120643
2005-01-12,0.00836433010461346
2005-01-13,-0.013220063160589657
2005-01-14,0.00945658702653418
2005-01-18,0.007546128694303489
2005-01-19,-0.01652934325287425
2005-01-20,-0.019169593161297294
2005-01-21,-0.008032618622162424
2005-01-24,-0.014034170532652879
2005-01-25,0.004926701299229785
2005-01-26,0.011985964284032757
2005-01-27,-0.0013454752121185853
2005-01-28,-0.004852095214704977
2005-01-31,0.013001138411397717
2005-02-01,0.0032084049326794872
2005-02-02,0.0015998178455944867
2005-02-03,-0.011442897805461816
2005-02-04,0.016150824836506983
2005-02-07,-0.0021195404191138856
2005-02-08,0.0018587451176441672
2005-02-09,-0.01669351693785659
2005-02-10,0.001077986914786777
2005-02-11,0.014804927788652167
2005-02-14,0.0045093139994674125
2005-02-15,0.006601422532423573
2005-02-16,-0.003672782763984861
2005-02-17,-0.01342768276907147
2005-02-18,-0.0032026496379684577
2005-02-22,-0.012315838737682716
2005-02-23,0.0013552611496354672
2005-02-24,0.012723134079019038
2005-02-25,0.005613852029826116
2005-02-28,-0.010632416575924841
2005-03-01,0.011015184343680096
2005-03-02,-0.0005313963504041119
2005-03-03,-0.008242391759715417
2005-03-04,0.0058977339192474165
2005-03-07,0.01439310982822306
2005-03-08,-0.009984454691909006
2005-03-09,-0.0029196323948721403
2005-03-10,-0.0013310891488883536
2005-03-11,-0.009328790133875886
2005-03-14,0.004574698054208515
2005-03-15,-0.00803446629978255
2005-03-16,-0.011339310160586202
2005-03-17,0.0024572974643097822
2005-03-18,-0.005447932733554373
2005-03-21,0.0019170036686311231
2005-03-22,-0.012301642042737315
2005-03-23,0.0035986564569756574
2005-03-24,0.00027592210710891685
2005-03-28,0.0019296257549423768
2005-03-29,-0.007979691887751716
2005-03-30,0.018862369418688685
2005-03-31,-0.004356677541802134
2005-04-01,-0.010117011500599848
2005-04-04,0.007182031143367906
2005-04-05,0.0027429196402710687
2005-04-06,-0.0016412132265546386
2005-04-07,0.012054674370392204
2005-04-08,-0.008121591698399877
2005-04-11,-0.004366159593037655
2005-04-12,0.0049338227307120786
2005-04-13,-0.016366573831533504
2005-04-14,-0.014143250567958177
2005-04-15,-0.02278485715815093
2005-04-18,0.00028760818575568337
2005-04-19,0.006906538818002961
2005-04-20,-0.008287636060103964
2005-04-21,0.026512834766128313
2005-04-22,-0.014878837342297335
2005-04-25,0.008264394264483776
2005-04-26,-0.009327794146140378
2005-04-27,0.0014266634559925162
2005-04-28,-0.009971906654524298
2005-04-29,0.006619142175460446
2005-05-02,0.004001831698170477
