Date,EEM
2005-01-04,-0.0307882695225542
2005-01-05,-0.012241544385682923
2005-01-06,-0.0006800168222248493
2005-01-07,0.0019362282293258204
2005-01-10,0.0012531169935905417
2005-01-11,-0.0018778006232905708
2005-01-12,0.012281374464440331
2005-01-13,-0.004130116114901772
2005-01-14,0.017884886884725892
2005-01-18,-0.0017826598059780263
2005-01-19,-0.013775180621590666
2005-01-20,-0.01241578296214152
2005-01-21,0.01361932308358571
2005-01-24,-0.0015503352964288952
2005-01-25,0.009058217927111256
2005-01-26,0.01461927305899069
2005-01-27,0.0009603195765783834
2005-01-28,0.0009089870595206939
2005-01-31,0.013170256791623203
2005-02-01,0.00856711534648924
2005-02-02,0.00316033886160616
2005-02-03,-0.0010339859200958479
2005-02-04,0.015621245125431615
2005-02-07,0.0031539456404534594
2005-02-08,0.0019342374453463762
2005-02-09,-0.0032338820869164397
2005-02-10,0.00484315205591801
2005-02-11,0.009735639652526329
2005-02-14,0.007160037461398927
2005-02-15,0.0023694846091992794
2005-02-16,-0.0030728010534186723
2005-02-17,-0.0016606252095401342
2005-02-18,0.01230435684225717
2005-02-22,-0.0036603750025859805
2005-02-23,0.004615768324720326
2005-02-24,0.015518594770277838
2005-02-25,0.018421346014918738
2005-02-28,-0.001677142531497311
2005-03-01,0.002815337924899408
2005-03-02,-0.016482687213605685
2005-03-03,0.0027627590225856036
2005-03-04,0.011937049333609728
2005-03-07,0.006578913787776086
2005-03-08,-0.007617666627907749
2005-03-09,-0.005723357091232617
2005-03-10,-0.009593458972107505
2005-03-11,-0.00562700542656458
2005-03-14,-0.007653968001621325
2005-03-15,-0.024914652749153388
2005-03-16,-0.00848481009919655
2005-03-17,0.01822720456260707
2005-03-18,-0.004510821356206729
2005-03-21,-0.014452839712770116
2005-03-22,-0.018487455501656758
2005-03-23,-0.01267277278932133
2005-03-24,-0.00109886032113371
2005-03-28,0.0068998272590592435
2005-03-29,-0.02587024760438894
2005-03-30,0.022785110942990405
2005-03-31,0.010715454080918896
2005-04-01,0.005916828853225864
2005-04-04,0.0022062246107990013
2005-04-05,-0.00024466752441065776
2005-04-06,0.013698206699809479
