Date,SPY
2005-01-04,-0.012218759661696943
2005-01-05,-0.0069006830642711625
2005-01-06,0.005084349572518132
2005-01-07,-0.0014332609920345574
2005-01-10,0.004727866092069544
2005-01-11,-0.00689016356746408
2005-01-12,0.003299408826097583
2005-01-13,-0.00801190824374809
2005-01-14,0.005271111051451172
2005-01-18,0.010402438274151438
2005-01-19,-0.01046261354455158
2005-01-20,-0.006090324308839379
2005-01-21,-0.006127547666009203
2005-01-24,-0.0019696749630709887
2005-01-25,0.0028314560817570555
2005-01-26,0.0029945365989589856
2005-01-27,0.0017058350390561916
2005-01-28,0.0
2005-01-31,0.006216386409557462
2005-02-01,0.006347298988200301
2005-02-02,0.003027255734207035
2005-02-03,-0.0025985760688183035
2005-02-04,0.010675643776111965
2005-02-07,-0.0013305605895176376
2005-02-08,0.0011659912639885306
2005-02-09,-0.007486995444007771
2005-02-10,0.003604004180221443
2005-02-11,0.008601859274976142
2005-02-14,-0.0007448078692648963
2005-02-15,0.0037285906714117356
2005-02-16,0.0006600113120855955
2005-02-17,-0.008084806826764934
2005-02-18,0.0013307481905877605
2005-02-22,-0.014868235044388833
2005-02-23,0.007166814990737791
2005-02-24,0.0066135398134170575
2005-02-25,0.009896917079237566
2005-02-28,-0.006587987878882484
2005-03-01,0.004974202041455378
2005-03-02,-0.0004950884196102123
2005-03-03,0.0004127780446383511
2005-03-04,0.012456939010716539
2005-03-07,0.0004882103584766817
2005-03-08,-0.003745987409712992
2005-03-09,-0.011117962897285949
2005-03-10,0.0022324081788589467
2005-03-11,-0.0070110364384693424
2005-03-14,0.0062299141357553545
2005-03-15,-0.00825481315094978
2005-03-16,-0.008490236781538818
2005-03-17,0.0020153380413114874
2005-03-18,-0.0029690706999566663
2005-03-21,-0.003712250502470593
2005-03-22,-0.010160858944186835
2005-03-23,0.0008553420633126141
2005-03-24,0.001196513117670328
2005-03-28,0.001451131339661238
2005-03-29,-0.006648946102685738
2005-03-30,0.014159259276397052
2005-03-31,-0.0018612580016699187
2005-04-01,-0.004493309651154465
2005-04-04,0.0017031551034385473
2005-04-05,0.004760802433765976
2005-04-06,0.003468902204654345
2005-04-07,0.0053965388082415355
