Date,TLT
2005-01-04,-0.01048021132664445
2005-01-05,0.005352184835992535
2005-01-06,0.0006798215872785285
2005-01-07,0.002263901850231953
2005-01-10,0.001581391964699641
2005-01-11,0.005863696574583077
2005-01-12,0.0013445977031463219
2005-01-13,0.009628333697637048
2005-01-14,-0.00011018637671811327
2005-01-18,0.003326343983834912
2005-01-19,0.0028743039910252843
2005-01-20,0.0019843090628977045
2005-01-21,0.0010994494062330773
2005-01-24,0.004286290481446908
2005-01-25,-0.009410371489416924
2005-01-26,0.0018776347340105914
2005-01-27,-0.0018741158290345172
2005-01-28,0.010050858410835417
2005-01-31,0.0028434186682908535
2005-02-01,-0.0015873656200114938
2005-02-02,0.002302738562221629
2005-02-03,-0.0005474805259091386
2005-02-04,0.013898665259366227
2005-02-07,0.007446334731689097
2005-02-08,0.005679001494670377
2005-02-09,0.002663184982835798
2005-02-10,-0.013493080617865916
2005-02-11,-0.000645804273295747
2005-02-14,0.0031241792749072683
2005-02-15,-0.0050487836053001445
2005-02-16,-0.0037795289746999083
2005-02-17,-0.006286554708636483
2005-02-18,-0.008943583054898063
2005-02-22,-0.004401738405548694
2005-02-23,0.003314665489353441
2005-02-24,-0.002203504961284186
2005-02-25,0.004858583602161293
2005-02-28,-0.010767990938101102
2005-03-01,-0.0003127496953212461
2005-03-02,-0.0013382642142111267
2005-03-03,-0.0005574801157706144
2005-03-04,0.010833195781380534
2005-03-07,0.003977139263807938
2005-03-08,-0.009464464648549553
2005-03-09,-0.016330705118598243
2005-03-10,0.0060984868560864935
2005-03-11,-0.007296099317810056
2005-03-14,0.00599345403908047
2005-03-15,-0.006295535947431374
2005-03-16,0.0061078908518446
2005-03-17,0.003261002798865542
2005-03-18,-0.00627581560660273
2005-03-21,-0.0028194688249042477
2005-03-22,-0.008482748746436175
2005-03-23,0.00479193003320888
2005-03-24,0.0020427277914267794
2005-03-28,-0.00611748556932723
2005-03-29,0.005927333853843697
2005-03-30,0.004985186269326647
2005-03-31,0.007217090044726815
2005-04-01,0.0033696468281081415
2005-04-04,-0.00022297401717197296
2005-04-05,-0.0025766020054962535
2005-04-06,0.0034818779857104243
2005-04-07,-0.008057834989933399
2005-04-08,0.003496625951843413
2005-04-11,0.005397108016101493
2005-04-12,0.009281021327555372
2005-04-13,-0.0024376178117402336
2005-04-14,-0.0015547513917129052
2005-04-15,0.013236717964839828
2005-04-18,-0.000768084837231342
2005-04-19,0.009667899756754084
2005-04-20,-0.0025024097809501766
2005-04-21,-0.01047253030186246
2005-04-22,0.008378341850832305
2005-04-25,0.0029523354816867187
2005-04-26,-0.0015269230803894862
2005-04-27,0.0034944155736840177
2005-04-28,0.007396667807408441
2005-04-29,-0.0017269596791645858
2005-05-02,-0.0002175139288195238
2005-05-03,0.002714513767275939
2005-05-04,-0.008771276666501238
2005-05-05,0.0022940725208406842
2005-05-06,-0.007412402662821838
2005-05-09,0.000988248926538704
2005-05-10,0.007131046370782768
2005-05-11,0.0030503398680896687
2005-05-12,0.0039092881810995905
2005-05-13,0.0038951994856635253
2005-05-16,-0.0011856961031267987
2005-05-17,0.002804412169561843
2005-05-18,0.00667112267686143
2005-05-19,-0.002564957402128143
2005-05-20,0.0011780802283871683
2005-05-23,0.007813071739617872
2005-05-24,0.002760575272422683
2005-05-25,-0.006989237546591198
2005-05-26,-0.00031973624914471976
2005-05-27,0.0010667409414311102
2005-05-31,0.012360801408439759
2005-06-01,0.012245355553188508
2005-06-02,0.0024003775927372573
2005-06-03,-0.008225376608900214
2005-06-06,0.005249452609128014
2005-06-07,0.00793753160754429
2005-06-08,-0.004766705680435135
2005-06-09,-0.0008326993045740805
2005-06-10,-0.01125384165294585
2005-06-13,-0.006006003644401403
2005-06-14,-0.006573957296493682
