Date,XLV
2005-01-04,-0.00804292613586921
2005-01-05,-0.0016897689159524054
2005-01-06,0.0074449412301356155
2005-01-07,-0.000671644325955012
2005-01-10,0.00873981682175895
2005-01-11,-0.006998139427293326
2005-01-12,0.006711515880879038
2005-01-13,-0.015000054205099533
2005-01-14,0.004060792954312387
2005-01-18,0.008089199784821144
2005-01-19,-0.006352398967205186
2005-01-20,-0.005047093732358232
2005-01-21,-0.006763810466904552
2005-01-24,-0.008511757335912029
2005-01-25,0.006868051163968492
2005-01-26,0.006139063871991368
2005-01-27,-0.002033745048119817
2005-01-28,-0.008152301055112887
2005-01-31,0.0017124492891875676
2005-02-01,0.009572705507022272
2005-02-02,0.004063727254562055
2005-02-03,-0.003035552335117875
2005-02-04,0.00913392262363466
2005-02-07,0.0006706597184364949
2005-02-08,0.002344728677472041
2005-02-09,-0.010694625420927362
2005-02-10,0.0016889379274684924
2005-02-11,0.010117647470906155
2005-02-14,0.0006678814888601003
2005-02-15,-0.000333672264347995
2005-02-16,-0.0013351345547618632
2005-02-17,-0.0013366454884218282
2005-02-18,0.0150599263399116
2005-02-22,-0.011869354113616448
2005-02-23,0.004671046932066325
2005-02-24,0.00763896251199947
2005-02-25,0.00824007715901054
2005-02-28,-0.015037561068788952
2005-03-01,0.007965335059202827
2005-03-02,0.0009880124634096266
2005-03-03,-0.0009870372582965192
2005-03-04,0.009219589842090814
2005-03-07,0.0022840643022730145
2005-03-08,-0.006510518027453616
2005-03-09,-0.006225613057937229
2005-03-10,0.0036269198007383707
2005-03-11,-0.007884306993261925
2005-03-14,0.001655836055126425
2005-03-15,-0.011570517036756489
2005-03-16,-0.009699149140996788
2005-03-17,0.0033771987350710297
2005-03-18,-0.0009794203068133056
2005-03-21,-0.004056327818911631
2005-03-22,0.00033903423043812886
2005-03-23,0.010858819906385486
2005-03-24,0.0003354614579105242
2005-03-28,-0.0006706065218746726
2005-03-29,-0.003358575315052237
2005-03-30,0.015835773196935854
2005-03-31,-0.009618637709573163
2005-04-01,-0.008706934524724375
2005-04-04,0.005066980951685229
2005-04-05,0.020168399438113216
2005-04-06,0.0006590819591389963
2005-04-07,0.01020733775325744
2005-04-08,-0.007170854858904008
2005-04-11,-0.0009851422098429152
2005-04-12,0.006572509832494022
2005-04-13,0.004570866978807375
2005-04-14,-0.0039000719750453827
2005-04-15,0.004894288696116966
2005-04-18,-0.006818101223498019
2005-04-19,-0.0006540889731960764
2005-04-20,-0.012430478720532268
2005-04-21,0.013580712715629994
2005-04-22,-0.0035948903014155764
2005-04-25,0.0022958379227757675
2005-04-26,-0.006217006079393128
2005-04-27,0.007573105069041519
2005-04-28,-0.004901928932311228
2005-04-29,0.014778496972043254
2005-05-02,0.004207073927547933
2005-05-03,-0.0006449019217147356
2005-05-04,0.009997204236455781
2005-05-05,-0.0003195087670109231
2005-05-06,-0.0044713336699367945
2005-05-09,0.00737847445990325
2005-05-10,-0.0063692140371142125
2005-05-11,0.004167059149926322
2005-05-12,-0.0012770185177682913
2005-05-13,-0.006711244062767019
2005-05-16,0.011904262168770607
2005-05-17,-0.0006358568530506759
2005-05-18,0.002227521608363592
2005-05-19,-0.00031742364409259594
2005-05-20,-0.0006355678398175524
2005-05-23,0.0019070506259883935
2005-05-24,0.001268486414263359
2005-05-25,-0.006335087184234589
2005-05-26,0.003825390021252373
2005-05-27,-0.003175676815310391
2005-05-31,-0.003185793867032216
2005-06-01,0.002556780469163744
2005-06-02,0.0
2005-06-03,-0.003506477280137088
2005-06-06,0.0003196864093282237
2005-06-07,0.00032001976213491545
